motif	region	region.gc	region.avgid	RNAphylo	RNAphylo.fdr	hmmpair	no.seq	alignment.len	avgid	no.bps	fraction.paired	expected.covary	observed.covary	alignment.power	fraction.covarying
K02355_upstream.h1_5.h2_1	K02355_upstream	(0.36,0.4]	(46,54]	19.73	2.7777777777777777	0	46	67	75.67	9	26.865671641791046	0.8	0	8.88888888888889	0
K02356_downstream.h1_1	K02356_downstream	(0.4,0.44]	(54,63]	29.38	6.666666666666667	0.949236	20	34	82.53	13	76.47058823529412	0.3	2	2.3076923076923075	15.384615384615385
K02435_downstream.h1_5.h2_1	K02435_downstream	(0.4,0.44]	(46,54]	7.27	4.705882352941177	0	52	59	69.28	10	33.89830508474576	1.4	0	13.999999999999998	0
K02435_downstream.h2_2.h2_4.h1_3	K02435_downstream	(0.4,0.44]	(46,54]	25.87	1.1764705882352942	0	60	117	76.96	26	44.44444444444444	2.8	0	10.769230769230768	0
K02469_upstream.h1_4.h2_1	K02469_upstream	(0.4,0.44]	(41,46]	15.98	1.4084507042253522	0	32	61	77.67	6	19.672131147540984	0.3	1	5	16.666666666666664
K02470_upstream.h1_1	K02470_upstream	(0.4,0.44]	(46,54]	13.4	3.5294117647058822	0.963483	23	31	87.95	9	58.06451612903226	0.1	1	1.1111111111111112	11.11111111111111
K02470_upstream.h1_5.h2_4.h2_1.h2_2	K02470_upstream	(0.4,0.44]	(46,54]	41.9	1.1764705882352942	2.00578	29	148	86.46	28	37.83783783783784	1	0	3.571428571428571	0
K02495_upstream.h1_2	K02495_upstream	(0.36,0.4]	(46,54]	54.71	2.7777777777777777	1.76872	15	47	56.04	17	72.3404255319149	2.3	9	13.529411764705882	52.94117647058824
K02495_upstream.h1_3	K02495_upstream	(0.36,0.4]	(46,54]	22.79	2.7777777777777777	2.50011	8	35	58.03	7	40	0.1	2	1.4285714285714286	28.57142857142857
K02503_downstream.h1_2	K02503_downstream	(0.36,0.4]	(46,54]	28.49	2.7777777777777777	0.98738	26	34	62.87	6	35.294117647058826	0.5	2	8.333333333333332	33.33333333333333
K02548_upstream.h1_1.h2_3.h1_2	K02548_upstream	(0.4,0.44]	(41,46]	44.58	1.4084507042253522	0.193277	22	93	90.26	17	36.55913978494624	0.1	0	0.5882352941176471	0
K02548_upstream.h1_4.h2_4	K02548_upstream	(0.4,0.44]	(41,46]	83.96	1.4084507042253522	0	43	90	63.22	4	8.88888888888889	0.9	2	22.5	50
K02548_upstream.h1_5.h2_2	K02548_upstream	(0.4,0.44]	(41,46]	16.5	1.4084507042253522	0.00124629	22	98	83.65	10	20.408163265306122	0.3	1	3	10
K02588_upstream.h1_1	K02588_upstream	(0.4,0.44]	(54,63]	26.85	6.666666666666667	1.53209	49	36	75.19	11	61.111111111111114	1.6	3	14.545454545454547	27.27272727272727
K02588_upstream.h2_1	K02588_upstream	(0.4,0.44]	(54,63]	56.92	3.3333333333333335	8.71234e-8	61	93	50.47	18	38.70967741935484	8.6	8	47.77777777777777	44.44444444444444
K02591_upstream.h1_1.h2_1.h1_4	K02591_upstream	(0.4,0.44]	(54,63]	128.15	3.3333333333333335	0	28	98	58.38	29	59.183673469387756	3.9	4	13.448275862068964	13.793103448275861
K02636_upstream.h1_2	K02636_upstream	(0.4,0.44]	(41,46]	13.41	1.4084507042253522	0.998354	31	47	70.23	12	51.06382978723404	1.6	0	13.333333333333334	0
K02668_downstream.h1_5	K02668_downstream	(0.4,0.44]	(46,54]	9.74	3.5294117647058822	0.976138	6	53	51.04	16	60.37735849056604	0.9	6	5.625	37.5
K02700_downstream.h2_1	K02700_downstream	(0,0.36]	(54,63]	10.49	3.225806451612903	0	15	65	90.02	8	24.615384615384617	0	0	0	0
K02704_upstream.h2_2	K02704_upstream	(0.4,0.44]	(46,54]	13.45	3.5294117647058822	0	40	52	69.4	8	30.76923076923077	0.5	2	6.25	25
K02705_upstream.h1_5	K02705_upstream	(0.36,0.4]	(46,54]	31.48	2.7777777777777777	0.0509602	29	39	58.76	9	46.15384615384615	1.7	2	18.88888888888889	22.22222222222222
K02707_downstream.h1_3	K02707_downstream	(0.4,0.44]	(46,54]	10.93	3.5294117647058822	0	14	37	83.4	11	59.45945945945946	0.1	1	0.9090909090909092	9.090909090909092
K02707_downstream.h1_5	K02707_downstream	(0.4,0.44]	(46,54]	7.21	4.705882352941177	0.328833	20	36	67.33	6	33.33333333333333	0.4	1	6.666666666666667	16.666666666666664
K02707_upstream.h1_1	K02707_upstream	(0.36,0.4]	(46,54]	7.6	8.333333333333332	0	26	35	85.29	12	68.57142857142857	0.1	1	0.8333333333333334	8.333333333333332
K02716_upstream.h1_3	K02716_upstream	(0.4,0.44]	(46,54]	11.87	3.5294117647058822	0.50762	16	36	83.13	12	66.66666666666666	0.1	1	0.8333333333333334	8.333333333333332
K02716_upstream.h1_5	K02716_upstream	(0.4,0.44]	(46,54]	5.87	7.0588235294117645	0.225445	15	66	79.45	12	36.36363636363637	0.1	1	0.8333333333333334	8.333333333333332
K02717_downstream.h2_1	K02717_downstream	(0.4,0.44]	(46,54]	5.31	7.0588235294117645	0	31	86	85.33	12	27.906976744186046	0.7	0	5.833333333333333	0
K02717_upstream.h1_3	K02717_upstream	(0.4,0.44]	(41,46]	20.86	1.4084507042253522	0	42	32	76.85	8	50	1.2	0	15	0
K02717_upstream.h1_5.h2_1.h2_2.h2_4.h1_4	K02717_upstream	(0.4,0.44]	(41,46]	10	2.8169014084507045	0.944958	58	254	66.11	22	17.322834645669293	1.4	0	6.363636363636363	0
K02717_upstream.h2_3	K02717_upstream	(0.4,0.44]	(41,46]	9.42	5.633802816901409	0	47	38	73.7	4	21.052631578947366	0	0	0	0
K02834_upstream.h1_3	K02834_upstream	(0.4,0.44]	(46,54]	6.75	4.705882352941177	0	40	31	70.54	5	32.25806451612903	0	0	0	0
K02834_upstream.h2_3	K02834_upstream	(0.4,0.44]	(46,54]	8.28	4.705882352941177	0	47	109	62.78	8	14.678899082568808	0.8	0	10	0
K02835_downstream.h1_3	K02835_downstream	(0.4,0.44]	(41,46]	28.66	1.4084507042253522	0	60	52	74.31	15	57.692307692307686	2	0	13.333333333333334	0
K02836_upstream.h1_1	K02836_upstream	(0.4,0.44]	(46,54]	11.88	3.5294117647058822	0.999086	55	40	81.48	9	45	0.7	1	7.777777777777778	11.11111111111111
K02836_upstream.h1_3	K02836_upstream	(0.4,0.44]	(46,54]	9.14	4.705882352941177	0	32	42	77.12	5	23.809523809523807	0	0	0	0
K02836_upstream.h1_4.h2_1	K02836_upstream	(0.4,0.44]	(46,54]	15.87	2.3529411764705883	0	40	103	67.84	13	25.24271844660194	0.4	0	3.076923076923077	0
K02836_upstream.h2_2.h2_3	K02836_upstream	(0.4,0.44]	(46,54]	4.9	7.0588235294117645	0.374927	29	144	77.24	14	19.444444444444446	1.1	2	7.8571428571428585	14.285714285714285
K02836_upstream.h2_4	K02836_upstream	(0.4,0.44]	(46,54]	5.95	7.0588235294117645	0	46	66	61.57	5	15.151515151515152	0.5	0	10	0
K02851_upstream.h2_1	K02851_upstream	(0.4,0.44]	(54,63]	134.88	3.3333333333333335	0	36	97	63.1	9	18.556701030927837	0	0	0	0
K02860_downstream.h1_1	K02860_downstream	(0.4,0.44]	(35,41]	14.84	6.25	0	21	34	88.53	10	58.82352941176471	0.3	0	3	0
K02860_downstream.h1_5	K02860_downstream	(0.4,0.44]	(35,41]	33.27	6.25	0.972999	24	49	76.29	8	32.6530612244898	0.4	0	5	0
K02860_downstream.h2_2.h2_3	K02860_downstream	(0.4,0.44]	(35,41]	14.37	6.25	0	28	163	89.21	24	29.447852760736197	1.1	0	4.583333333333334	0
K02863_upstream.h1_1.h1_3	K02863_upstream	(0.4,0.44]	(46,54]	156.55	1.1764705882352942	0.983808	180	61	60.89	9	29.508196721311474	3.2	5	35.55555555555556	55.55555555555556
K02874_downstream.h2_1	K02874_downstream	(0.4,0.44]	(46,54]	4.64	8.23529411764706	1.09108	5	46	65.32	10	43.47826086956522	0.4	2	4	20
K02878_upstream.h1_1	K02878_upstream	(0.4,0.44]	(46,54]	22.79	1.1764705882352942	0	30	43	62.24	10	46.51162790697674	1.9	4	19	40
K02888_upstream.h1_4.h2_2	K02888_upstream	(0.4,0.44]	(46,54]	118.96	1.1764705882352942	3.04559	56	105	61.54	17	32.38095238095238	3.9	7	22.941176470588236	41.17647058823529
K02888_upstream.h2_4	K02888_upstream	(0.4,0.44]	(46,54]	7.35	4.705882352941177	0	31	83	83.55	25	60.24096385542169	2.8	0	11.2	0
K02906_upstream.h1_2	K02906_upstream	(0.44,0.48]	(41,46]	51.37	6.25	2.34645	50	46	70.73	16	69.56521739130434	3.4	6	21.25	37.5
K02906_upstream.h1_3	K02906_upstream	(0.44,0.48]	(41,46]	20.4	6.25	2.45632	30	39	81.65	14	71.7948717948718	0.5	1	3.571428571428571	7.142857142857142
K02906_upstream.h1_5	K02906_upstream	(0.44,0.48]	(41,46]	7.86	6.25	0.232763	24	63	84.57	21	66.66666666666666	0.4	0	1.9047619047619049	0
K02906_upstream.h2_1	K02906_upstream	(0.44,0.48]	(41,46]	143.83	6.25	10.6528	55	87	59.91	27	62.06896551724138	7.2	13	26.666666666666668	48.148148148148145
K02906_upstream.h2_2	K02906_upstream	(0.44,0.48]	(41,46]	147.33	6.25	2.71168	123	51	57.87	11	43.13725490196079	5.2	6	47.27272727272727	54.54545454545454
K02906_upstream.h2_5	K02906_upstream	(0.44,0.48]	(41,46]	303.53	6.25	2.40609	152	51	51.74	16	62.745098039215684	9.8	10	61.25000000000001	62.5
K02931_upstream.h1_1	K02931_upstream	(0.36,0.4]	(46,54]	55.79	2.7777777777777777	1.98752	138	36	68.65	8	44.44444444444444	1.8	3	22.5	37.5
K02950_upstream.h1_2	K02950_upstream	(0.36,0.4]	(54,63]	9.46	10	0	18	36	77.62	10	55.55555555555556	0.1	0	1	0
K02950_upstream.h2_1	K02950_upstream	(0.36,0.4]	(54,63]	5.3	10	0	41	54	79.52	9	33.33333333333333	0.4	0	4.444444444444445	0
K02967_downstream.h1_1	K02967_downstream	(0.36,0.4]	(54,63]	10.86	10	0.980922	13	39	74.61	11	56.41025641025641	0.5	2	4.545454545454546	18.181818181818183
K02968_upstream.h1_2	K02968_upstream	(0.4,0.44]	(46,54]	6.59	4.705882352941177	0.090652	28	52	84.43	13	50	0.4	0	3.076923076923077	0
K02968_upstream.h1_3	K02968_upstream	(0.4,0.44]	(46,54]	8.8	4.705882352941177	0.00445597	24	50	87.19	16	64	0.4	0	2.5	0
K02986_upstream.h1_3.h2_4	K02986_upstream	(0.4,0.44]	(46,54]	12.57	3.5294117647058822	0.386582	28	77	84.18	14	36.36363636363637	0.8	2	5.714285714285714	14.285714285714285
K02990_downstream.h1_2	K02990_downstream	(0.4,0.44]	(46,54]	7.17	4.705882352941177	0	24	30	84.34	8	53.333333333333336	0.1	0	1.25	0
K02990_upstream.h1_2.h2_1	K02990_upstream	(0.4,0.44]	(46,54]	10.96	3.5294117647058822	0.970542	49	71	69.45	10	28.169014084507044	0.2	2	2	20
K03075_downstream.h1_1	K03075_downstream	(0.4,0.44]	(46,54]	5.22	7.0588235294117645	0	27	49	83.35	13	53.06122448979592	0.5	0	3.8461538461538463	0
K03075_downstream.h1_2.h1_3	K03075_downstream	(0.4,0.44]	(46,54]	14.83	2.3529411764705883	0	26	78	88.82	26	66.66666666666666	1.1	0	4.230769230769231	0
K03075_downstream.h2_2.h2_3.h2_4	K03075_downstream	(0.4,0.44]	(46,54]	9.82	3.5294117647058822	0	35	197	86.14	32	32.48730964467005	1.6	0	5	0
K03075_downstream.h2_5	K03075_downstream	(0.4,0.44]	(46,54]	17.15	2.3529411764705883	0	34	51	86.41	7	27.450980392156865	0	0	0	0
K03100_downstream.h2_2	K03100_downstream	(0.44,0.48]	(41,46]	9.54	6.25	0.00155522	37	58	67.92	9	31.03448275862069	0.5	0	5.555555555555555	0
K03168_upstream.h1_3	K03168_upstream	(0.4,0.44]	(41,46]	16.87	1.4084507042253522	0.103261	21	40	81.39	12	60	0.2	1	1.6666666666666667	8.333333333333332
K03168_upstream.h2_4	K03168_upstream	(0.4,0.44]	(41,46]	19.05	1.4084507042253522	0	30	72	68.3	14	38.88888888888889	2	0	14.285714285714285	0
K03181_downstream.h1_3.h1_5.h1_1	K03181_downstream	(0.4,0.44]	(35,41]	7.92	6.25	0.387817	28	103	86.39	22	42.71844660194174	0.7	0	3.1818181818181817	0
K03183_upstream.h1_1	K03183_upstream	(0.4,0.44]	(41,46]	14.87	1.4084507042253522	0	52	35	82.05	7	40	0.4	0	5.714285714285714	0
K03183_upstream.h1_4	K03183_upstream	(0.4,0.44]	(41,46]	39.93	1.4084507042253522	0	53	31	72.19	5	32.25806451612903	0.8	1	16	20
K03187_upstream.h1_2	K03187_upstream	(0.4,0.44]	(41,46]	8.64	8.450704225352114	0.00109044	11	46	82.9	12	52.17391304347826	0.3	1	2.5	8.333333333333332
K03187_upstream.h1_3.h2_3.h2_1	K03187_upstream	(0.4,0.44]	(41,46]	21.77	1.4084507042253522	0.215457	21	214	94.24	49	45.794392523364486	0.2	0	0.40816326530612246	0
K03320_upstream.h1_3	K03320_upstream	(0.36,0.4]	(35,41]	58.55	5.88235294117647	0	166	36	52.47	3	16.666666666666664	0.5	1	16.666666666666664	33.33333333333333
K03320_upstream.h2_2	K03320_upstream	(0.36,0.4]	(35,41]	69	5.88235294117647	0	20	61	75.86	14	45.90163934426229	0.7	0	5	0
K03325_upstream.h2_1	K03325_upstream	(0.4,0.44]	(54,63]	25.61	6.666666666666667	0	51	77	50.36	6	15.584415584415584	1.1	1	18.333333333333336	16.666666666666664
K03328_downstream.h1_2	K03328_downstream	(0.36,0.4]	(46,54]	99.05	2.7777777777777777	0	37	42	43.53	7	33.33333333333333	4.1	7	58.57142857142856	100
K03424_downstream.h2_1	K03424_downstream	(0.36,0.4]	(46,54]	17.73	2.7777777777777777	0.0751826	34	63	73.56	9	28.57142857142857	1.1	0	12.222222222222223	0
K03424_upstream.h1_1	K03424_upstream	(0.36,0.4]	(46,54]	26.13	2.7777777777777777	0	33	66	58.52	13	39.39393939393939	3.3	3	25.384615384615383	23.076923076923077
K03428_downstream.h1_3.h2_1	K03428_downstream	(0.44,0.48]	(41,46]	7.66	6.25	0	23	85	90.27	19	44.70588235294118	0.5	0	2.631578947368421	0
K03428_upstream.h1_2	K03428_upstream	(0.4,0.44]	(46,54]	5.34	7.0588235294117645	0	23	33	85.96	11	66.66666666666666	0.4	0	3.6363636363636367	0
K03428_upstream.h1_3.h1_5	K03428_upstream	(0.4,0.44]	(46,54]	6.59	4.705882352941177	0	27	76	89.21	25	65.78947368421053	0.6	0	2.4	0
K03428_upstream.h2_1.h2_2	K03428_upstream	(0.4,0.44]	(46,54]	7.14	4.705882352941177	0.00601995	30	151	89.24	38	50.331125827814574	1.3	0	3.421052631578948	0
K03470_downstream.h2_1.h2_3	K03470_downstream	(0.4,0.44]	(46,54]	137.97	1.1764705882352942	0	28	105	86.16	24	45.714285714285715	1	0	4.166666666666666	0
K03499_downstream.h1_4.h2_3.h1_3	K03499_downstream	(0.4,0.44]	(35,41]	5.69	6.25	0	28	152	90.97	33	43.42105263157895	0.3	0	0.9090909090909091	0
K03499_downstream.h1_5	K03499_downstream	(0.4,0.44]	(35,41]	3.49	6.25	0	28	58	79.92	6	20.689655172413794	0	0	0	0
K03501_downstream.h2_2	K03501_downstream	(0.44,0.48]	(41,46]	5.87	6.25	0	55	55	70.46	6	21.818181818181817	0	0	0	0
K03501_upstream.h1_1.h2_2	K03501_upstream	(0.4,0.44]	(35,41]	20.38	6.25	0	33	127	58.56	10	15.748031496062993	0.9	1	9	10
K03501_upstream.h1_5	K03501_upstream	(0.4,0.44]	(35,41]	43.01	6.25	0.0528541	20	70	88.25	21	60	0.2	1	0.9523809523809524	4.761904761904762
K03524_downstream.h1_4	K03524_downstream	(0.36,0.4]	(46,54]	16.57	5.555555555555555	0	22	42	80.7	13	61.904761904761905	1	0	7.6923076923076925	0
K03524_upstream.h1_2	K03524_upstream	(0.4,0.44]	(46,54]	19.25	1.1764705882352942	0.894387	23	56	80.1	17	60.71428571428571	0.3	0	1.7647058823529411	0
K03524_upstream.h1_4.h2_2	K03524_upstream	(0.4,0.44]	(46,54]	4.47	8.23529411764706	2.6262e-9	25	96	87.64	16	33.33333333333333	0.5	0	3.125	0
K03531_upstream.h1_1.h2_1	K03531_upstream	(0.36,0.4]	(54,63]	17.08	10	0.239916	24	88	87.63	23	52.27272727272727	0.3	0	1.3043478260869565	0
K03553_downstream.h2_1	K03553_downstream	(0.4,0.44]	(35,41]	9.46	6.25	0	26	49	76.73	6	24.489795918367346	0.5	0	8.333333333333332	0
K03553_upstream.h1_4.h2_1	K03553_upstream	(0.4,0.44]	(46,54]	16.96	2.3529411764705883	2.27793	23	105	82.16	27	51.42857142857142	1.1	1	4.074074074074074	3.7037037037037033
K03555_downstream.h1_3.h2_2	K03555_downstream	(0.4,0.44]	(35,41]	28.22	6.25	0	45	74	70.42	11	29.72972972972973	0.2	0	1.8181818181818183	0
K03555_upstream.h2_1	K03555_upstream	(0.4,0.44]	(41,46]	8.57	8.450704225352114	0	20	54	70.1	7	25.925925925925924	0.5	0	7.142857142857142	0
K03593_upstream.h1_2.h1_3	K03593_upstream	(0.4,0.44]	(46,54]	16.89	2.3529411764705883	0	51	68	77.46	11	32.35294117647059	1.2	1	10.909090909090908	9.090909090909092
K03593_upstream.h1_4	K03593_upstream	(0.4,0.44]	(46,54]	17.92	1.1764705882352942	0	28	41	71.88	13	63.41463414634146	0.7	1	5.384615384615384	7.6923076923076925
K03593_upstream.h1_5	K03593_upstream	(0.4,0.44]	(46,54]	7.75	4.705882352941177	7.46765e-13	22	51	85.88	14	54.90196078431373	0.3	1	2.142857142857143	7.142857142857142
K03605_downstream.h1_3	K03605_downstream	(0.36,0.4]	(54,63]	19.82	10	0	34	39	74.39	7	35.8974358974359	0.3	0	4.285714285714286	0
K03631_upstream.h1_2	K03631_upstream	(0.4,0.44]	(41,46]	13.17	1.4084507042253522	0.972445	42	33	66.1	7	42.42424242424242	0.8	2	11.428571428571429	28.57142857142857
K03631_upstream.h1_5.h2_2.h2_1	K03631_upstream	(0.4,0.44]	(41,46]	30.7	1.4084507042253522	0.688032	55	91	65.54	13	28.57142857142857	1.6	0	12.307692307692308	0
K03650_downstream.h1_4.h2_1	K03650_downstream	(0.4,0.44]	(46,54]	10.64	3.5294117647058822	0.918249	16	74	93.63	9	24.324324324324326	0	0	0	0
K03650_upstream.h1_1.h2_5.h2_1.h2_4	K03650_upstream	(0.4,0.44]	(46,54]	9.9	3.5294117647058822	0	63	184	64.97	22	23.91304347826087	2.6	0	11.818181818181818	0
K03650_upstream.h1_3	K03650_upstream	(0.4,0.44]	(46,54]	9.36	4.705882352941177	0.80592	17	48	80.61	15	62.5	0.3	1	2	6.666666666666667
K03664_downstream.h2_4	K03664_downstream	(0.44,0.48]	(41,46]	7.41	6.25	0	30	82	84.85	15	36.58536585365854	0.4	0	2.666666666666667	0
K03665_upstream.h1_2.h2_1	K03665_upstream	(0.4,0.44]	(46,54]	7.58	4.705882352941177	0	36	88	74.44	10	22.727272727272727	1.5	0	15	0
K03665_upstream.h1_5	K03665_upstream	(0.4,0.44]	(46,54]	29.44	1.1764705882352942	0.934794	39	52	73.55	8	30.76923076923077	0.5	0	6.25	0
K03705_downstream.h2_1	K03705_downstream	(0.44,0.48]	(41,46]	6.04	6.25	9.87093e-13	16	54	77.42	13	48.148148148148145	0.5	0	3.8461538461538463	0
K03727_downstream.h1_3.h2_4	K03727_downstream	(0.4,0.44]	(35,41]	27.53	6.25	0.13068	47	128	77.43	24	37.5	1.8	0	7.5	0
K03727_downstream.h2_3	K03727_downstream	(0.4,0.44]	(35,41]	3.43	6.25	0	36	46	70.34	9	39.130434782608695	1.5	0	16.666666666666664	0
K03727_upstream.h2_2	K03727_upstream	(0.4,0.44]	(41,46]	10.31	2.8169014084507045	0	30	93	77.37	12	25.806451612903224	1	1	8.333333333333332	8.333333333333332
K03786_downstream.h1_1	K03786_downstream	(0.4,0.44]	(46,54]	35.9	1.1764705882352942	2.52247	8	43	64.45	16	74.4186046511628	0.3	3	1.875	18.75
K03797_upstream.h2_1	K03797_upstream	(0.4,0.44]	(46,54]	5.3	7.0588235294117645	0	79	76	78.16	12	31.57894736842105	1.9	0	15.833333333333332	0
K03800_downstream.h1_4	K03800_downstream	(0.4,0.44]	(35,41]	10.84	6.25	0.976957	24	35	84.38	11	62.857142857142854	0.3	0	2.727272727272727	0
K03800_downstream.h2_2	K03800_downstream	(0.4,0.44]	(35,41]	4.6	6.25	0.953599	31	78	76.57	16	41.02564102564102	1.4	1	8.75	6.25
K03856_upstream.h2_2	K03856_upstream	(0.36,0.4]	(46,54]	59.52	2.7777777777777777	0.239026	23	56	76.86	12	42.857142857142854	0.1	0	0.8333333333333334	0
K03980_upstream.h1_2.h2_1	K03980_upstream	(0.4,0.44]	(46,54]	16.39	2.3529411764705883	0	29	65	79.9	4	12.307692307692308	0.2	0	5	0
K04075_downstream.h2_1	K04075_downstream	(0.4,0.44]	(41,46]	60.37	1.4084507042253522	0.868632	24	60	76.43	14	46.666666666666664	1	0	7.142857142857142	0
K04075_upstream.h2_3.h2_4.h1_5.h2_5	K04075_upstream	(0.4,0.44]	(41,46]	167.17	1.4084507042253522	0	48	252	71.11	31	24.6031746031746	3.4	0	10.967741935483872	0
K04485_downstream.h1_4	K04485_downstream	(0.4,0.44]	(41,46]	8.19	9.859154929577466	0	48	31	74.54	5	32.25806451612903	0.1	0	2	0
K04485_downstream.h1_5.h2_1	K04485_downstream	(0.4,0.44]	(41,46]	19.36	1.4084507042253522	0	53	62	73.14	7	22.58064516129032	0.5	0	7.142857142857142	0
K04485_upstream.h1_1	K04485_upstream	(0.4,0.44]	(54,63]	38.74	3.3333333333333335	0	128	39	83.34	6	30.76923076923077	1.8	0	30	0
K04485_upstream.h1_3	K04485_upstream	(0.4,0.44]	(54,63]	27.75	6.666666666666667	0	122	44	74.77	9	40.909090909090914	0.2	1	2.2222222222222223	11.11111111111111
K04485_upstream.h1_4	K04485_upstream	(0.4,0.44]	(54,63]	27.44	6.666666666666667	0	94	42	77.23	7	33.33333333333333	0.4	0	5.714285714285714	0
K04485_upstream.h2_3	K04485_upstream	(0.4,0.44]	(54,63]	51.31	3.3333333333333335	0.533364	118	106	76.55	25	47.16981132075472	2.7	0	10.8	0
K04518_upstream.h1_1.h1_4	K04518_upstream	(0.4,0.44]	(46,54]	5.57	7.0588235294117645	0	54	70	61.8	7	20	0.6	0	8.571428571428571	0
K04518_upstream.h1_2.h1_5	K04518_upstream	(0.4,0.44]	(46,54]	4.88	7.0588235294117645	0.0287811	29	94	90.77	24	51.06382978723404	0.2	0	0.8333333333333334	0
K04518_upstream.h2_4	K04518_upstream	(0.4,0.44]	(46,54]	4.4	8.23529411764706	0.00131778	30	97	88.66	22	45.36082474226804	0.4	0	1.8181818181818183	0
K04564_upstream.h1_1	K04564_upstream	(0.4,0.44]	(46,54]	9.19	4.705882352941177	4.87658e-13	31	32	69.68	10	62.5	1.4	2	13.999999999999998	20
K04720_downstream.h1_3	K04720_downstream	(0.4,0.44]	(41,46]	21.09	1.4084507042253522	0	15	48	89.64	5	20.833333333333336	0	1	0	20
K05377_downstream.h1_5	K05377_downstream	(0,0.36]	(63,100]	16.8	7.317073170731707	0.0769886	26	51	81.75	12	47.05882352941176	0.7	0	5.833333333333333	0
K05377_upstream.h1_5.h2_2	K05377_upstream	(0.36,0.4]	(46,54]	20.34	2.7777777777777777	0.598	27	123	90.44	25	40.65040650406504	0.6	0	2.4	0
K05567_upstream.h1_4	K05567_upstream	(0.4,0.44]	(41,46]	8.98	7.042253521126761	0	11	41	70.57	6	29.268292682926827	0	0	0	0
K05584_upstream.h1_1	K05584_upstream	(0.4,0.44]	(46,54]	6.68	4.705882352941177	0.751393	49	35	80.32	10	57.14285714285714	0.6	0	6	0
K05584_upstream.h2_1.h2_2.h1_2	K05584_upstream	(0.4,0.44]	(46,54]	5.38	7.0588235294117645	0	62	110	80.11	22	40	2.9	0	13.18181818181818	0
K05585_upstream.h1_2.h2_2.h1_1	K05585_upstream	(0.4,0.44]	(46,54]	8.89	4.705882352941177	0	49	83	77.52	18	43.373493975903614	1.1	0	6.111111111111112	0
K05585_upstream.h1_3	K05585_upstream	(0.4,0.44]	(46,54]	45.06	1.1764705882352942	1.58485	50	48	68.69	13	54.166666666666664	2.6	6	20	46.15384615384615
K05585_upstream.h2_1	K05585_upstream	(0.4,0.44]	(46,54]	74.75	1.1764705882352942	0.990549	49	69	58.08	19	55.072463768115945	5.6	10	29.47368421052631	52.63157894736842
K05585_upstream.h2_3.h2_4	K05585_upstream	(0.4,0.44]	(46,54]	101.64	1.1764705882352942	4.32661	56	119	57.96	28	47.05882352941176	7.5	11	26.785714285714285	39.285714285714285
K05592_upstream.h1_3.h1_4.h2_1	K05592_upstream	(0.4,0.44]	(54,63]	31.87	6.666666666666667	0.0745435	39	135	75.41	20	29.629629629629626	1.1	1	5.500000000000001	5
K05841_upstream.h1_3	K05841_upstream	(0.4,0.44]	(35,41]	3.96	6.25	0.907387	8	33	82.65	10	60.60606060606061	0.2	0	2	0
K05979_upstream.h2_3	K05979_upstream	(0.4,0.44]	(46,54]	8.55	4.705882352941177	0.0625773	19	77	83.49	18	46.75324675324675	0.5	0	2.7777777777777777	0
K06045_downstream.h2_3	K06045_downstream	(0.4,0.44]	(35,41]	10.11	6.25	6.48894	3	100	81.05	30	60	0	0	0	0
K06076_upstream.h1_1	K06076_upstream	(0.36,0.4]	(35,41]	46.59	5.88235294117647	0.215533	29	38	52.86	9	47.368421052631575	3.2	6	35.55555555555556	66.66666666666666
K06153_upstream.h1_1	K06153_upstream	(0.4,0.44]	(46,54]	25.91	1.1764705882352942	1.2375	20	31	75.22	5	32.25806451612903	0.1	2	2	40
K06197_upstream.h1_3	K06197_upstream	(0.4,0.44]	(46,54]	10.15	3.5294117647058822	0	22	41	75.59	9	43.90243902439025	0.3	0	3.3333333333333335	0
K06197_upstream.h1_5	K06197_upstream	(0.4,0.44]	(46,54]	20.43	1.1764705882352942	0	26	45	82.99	11	48.888888888888886	0.9	0	8.181818181818182	0
K06197_upstream.h2_1	K06197_upstream	(0.4,0.44]	(46,54]	8.47	4.705882352941177	0	24	53	77.78	7	26.41509433962264	0.3	0	4.285714285714286	0
K06197_upstream.h2_2	K06197_upstream	(0.4,0.44]	(46,54]	4.23	8.23529411764706	0	31	66	78.09	11	33.33333333333333	1	1	9.090909090909092	9.090909090909092
K06199_downstream.h2_1	K06199_downstream	(0.44,0.48]	(41,46]	8.03	6.25	0.0966912	20	52	82.99	15	57.692307692307686	0.6	0	4	0
K06213_upstream.h1_1.h2_1.h1_4	K06213_upstream	(0.4,0.44]	(41,46]	51.25	1.4084507042253522	1.0405	55	90	71.77	14	31.11111111111111	1.2	0	8.571428571428571	0
K06213_upstream.h1_3.h2_3	K06213_upstream	(0.4,0.44]	(41,46]	29.72	1.4084507042253522	9.99824e-13	48	93	56.14	9	19.35483870967742	2.9	1	32.22222222222222	11.11111111111111
K06282_upstream.h1_5	K06282_upstream	(0,0.36]	(46,54]	71.25	7.6923076923076925	0.172642	32	37	50.6	9	48.64864864864865	3.8	9	42.22222222222222	100
K06381_downstream.h1_4.h2_4.h2_3	K06381_downstream	(0.4,0.44]	(41,46]	8.46	8.450704225352114	0.0126782	31	139	70.82	6	8.633093525179856	0.8	0	13.333333333333334	0
K06442_downstream.h2_1	K06442_downstream	(0.4,0.44]	(41,46]	21.03	1.4084507042253522	0	39	50	74.7	6	24	0.5	0	8.333333333333332	0
